"stage","category","dataset","group_id","sample_id","new_filename","source_relative_path","size_bytes"
"Stage1","DenoisingTriptych","Duke17","duke17_1","duke17_1","Stage1_Duke17_duke17_1_duke17_1_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_1\duke17_1\noisy_clean_denoised_triptych.png","2823315"
"Stage1","DenoisingTriptych","Duke17","duke17_11","duke17_11","Stage1_Duke17_duke17_11_duke17_11_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_11\duke17_11\noisy_clean_denoised_triptych.png","3003149"
"Stage1","DenoisingTriptych","Duke17","duke17_12","duke17_12","Stage1_Duke17_duke17_12_duke17_12_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_12\duke17_12\noisy_clean_denoised_triptych.png","3044536"
"Stage1","DenoisingTriptych","Duke17","duke17_13","duke17_13","Stage1_Duke17_duke17_13_duke17_13_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_13\duke17_13\noisy_clean_denoised_triptych.png","2877187"
"Stage1","DenoisingTriptych","Duke17","duke17_14","duke17_14","Stage1_Duke17_duke17_14_duke17_14_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_14\duke17_14\noisy_clean_denoised_triptych.png","2964212"
"Stage1","DenoisingTriptych","Duke17","duke17_15","duke17_15","Stage1_Duke17_duke17_15_duke17_15_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_15\duke17_15\noisy_clean_denoised_triptych.png","2827556"
"Stage1","DenoisingTriptych","Duke17","duke17_16","duke17_16","Stage1_Duke17_duke17_16_duke17_16_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_16\duke17_16\noisy_clean_denoised_triptych.png","2827769"
"Stage1","DenoisingTriptych","Duke17","duke17_2_r","duke17_2_r","Stage1_Duke17_duke17_2_r_duke17_2_r_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_2_r\duke17_2_r\noisy_clean_denoised_triptych.png","2844333"
"Stage1","DenoisingTriptych","Duke17","duke17_3","duke17_3","Stage1_Duke17_duke17_3_duke17_3_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_3\duke17_3\noisy_clean_denoised_triptych.png","2692689"
"Stage1","DenoisingTriptych","Duke17","duke17_4","duke17_4","Stage1_Duke17_duke17_4_duke17_4_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_4\duke17_4\noisy_clean_denoised_triptych.png","3008040"
"Stage1","DenoisingTriptych","Duke17","duke17_5","duke17_5","Stage1_Duke17_duke17_5_duke17_5_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_5\duke17_5\noisy_clean_denoised_triptych.png","2907968"
"Stage1","DenoisingTriptych","Duke17","duke17_7","duke17_7","Stage1_Duke17_duke17_7_duke17_7_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_7\duke17_7\noisy_clean_denoised_triptych.png","2849410"
"Stage1","DenoisingTriptych","Duke17","duke17_8","duke17_8","Stage1_Duke17_duke17_8_duke17_8_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_8\duke17_8\noisy_clean_denoised_triptych.png","2584576"
"Stage1","DenoisingTriptych","Duke17","duke17_9","duke17_9","Stage1_Duke17_duke17_9_duke17_9_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke17\all_positions\duke17_9\duke17_9\noisy_clean_denoised_triptych.png","2826932"
"Stage1","DenoisingTriptych","Duke28","duke28_ll1","duke28_ll1","Stage1_Duke28_duke28_ll1_duke28_ll1_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll1\duke28_ll1\noisy_clean_denoised_triptych.png","2272495"
"Stage1","DenoisingTriptych","Duke28","duke28_ll10","duke28_ll10","Stage1_Duke28_duke28_ll10_duke28_ll10_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll10\duke28_ll10\noisy_clean_denoised_triptych.png","2237074"
"Stage1","DenoisingTriptych","Duke28","duke28_ll2","duke28_ll2","Stage1_Duke28_duke28_ll2_duke28_ll2_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll2\duke28_ll2\noisy_clean_denoised_triptych.png","2268692"
"Stage1","DenoisingTriptych","Duke28","duke28_ll3","duke28_ll3","Stage1_Duke28_duke28_ll3_duke28_ll3_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll3\duke28_ll3\noisy_clean_denoised_triptych.png","2254774"
"Stage1","DenoisingTriptych","Duke28","duke28_ll4","duke28_ll4","Stage1_Duke28_duke28_ll4_duke28_ll4_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll4\duke28_ll4\noisy_clean_denoised_triptych.png","2248904"
"Stage1","DenoisingTriptych","Duke28","duke28_ll5","duke28_ll5","Stage1_Duke28_duke28_ll5_duke28_ll5_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll5\duke28_ll5\noisy_clean_denoised_triptych.png","2249617"
"Stage1","DenoisingTriptych","Duke28","duke28_ll6","duke28_ll6","Stage1_Duke28_duke28_ll6_duke28_ll6_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll6\duke28_ll6\noisy_clean_denoised_triptych.png","2280389"
"Stage1","DenoisingTriptych","Duke28","duke28_ll8","duke28_ll8","Stage1_Duke28_duke28_ll8_duke28_ll8_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll8\duke28_ll8\noisy_clean_denoised_triptych.png","2259711"
"Stage1","DenoisingTriptych","Duke28","duke28_ll9","duke28_ll9","Stage1_Duke28_duke28_ll9_duke28_ll9_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_ll9\duke28_ll9\noisy_clean_denoised_triptych.png","2248631"
"Stage1","DenoisingTriptych","Duke28","duke28_sl1","duke28_sl1","Stage1_Duke28_duke28_sl1_duke28_sl1_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl1\duke28_sl1\noisy_clean_denoised_triptych.png","2252549"
"Stage1","DenoisingTriptych","Duke28","duke28_sl10","duke28_sl10","Stage1_Duke28_duke28_sl10_duke28_sl10_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl10\duke28_sl10\noisy_clean_denoised_triptych.png","2193832"
"Stage1","DenoisingTriptych","Duke28","duke28_sl11","duke28_sl11","Stage1_Duke28_duke28_sl11_duke28_sl11_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl11\duke28_sl11\noisy_clean_denoised_triptych.png","2281364"
"Stage1","DenoisingTriptych","Duke28","duke28_sl12","duke28_sl12","Stage1_Duke28_duke28_sl12_duke28_sl12_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl12\duke28_sl12\noisy_clean_denoised_triptych.png","2246827"
"Stage1","DenoisingTriptych","Duke28","duke28_sl14","duke28_sl14","Stage1_Duke28_duke28_sl14_duke28_sl14_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl14\duke28_sl14\noisy_clean_denoised_triptych.png","2257507"
"Stage1","DenoisingTriptych","Duke28","duke28_sl15","duke28_sl15","Stage1_Duke28_duke28_sl15_duke28_sl15_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl15\duke28_sl15\noisy_clean_denoised_triptych.png","2247707"
"Stage1","DenoisingTriptych","Duke28","duke28_sl16","duke28_sl16","Stage1_Duke28_duke28_sl16_duke28_sl16_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl16\duke28_sl16\noisy_clean_denoised_triptych.png","2246436"
"Stage1","DenoisingTriptych","Duke28","duke28_sl17","duke28_sl17","Stage1_Duke28_duke28_sl17_duke28_sl17_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl17\duke28_sl17\noisy_clean_denoised_triptych.png","2241053"
"Stage1","DenoisingTriptych","Duke28","duke28_sl18","duke28_sl18","Stage1_Duke28_duke28_sl18_duke28_sl18_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl18\duke28_sl18\noisy_clean_denoised_triptych.png","2233184"
"Stage1","DenoisingTriptych","Duke28","duke28_sl2","duke28_sl2","Stage1_Duke28_duke28_sl2_duke28_sl2_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl2\duke28_sl2\noisy_clean_denoised_triptych.png","2252850"
"Stage1","DenoisingTriptych","Duke28","duke28_sl3","duke28_sl3","Stage1_Duke28_duke28_sl3_duke28_sl3_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl3\duke28_sl3\noisy_clean_denoised_triptych.png","2294754"
"Stage1","DenoisingTriptych","Duke28","duke28_sl4","duke28_sl4","Stage1_Duke28_duke28_sl4_duke28_sl4_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl4\duke28_sl4\noisy_clean_denoised_triptych.png","2263143"
"Stage1","DenoisingTriptych","Duke28","duke28_sl7","duke28_sl7","Stage1_Duke28_duke28_sl7_duke28_sl7_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl7\duke28_sl7\noisy_clean_denoised_triptych.png","2306088"
"Stage1","DenoisingTriptych","Duke28","duke28_sl8","duke28_sl8","Stage1_Duke28_duke28_sl8_duke28_sl8_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl8\duke28_sl8\noisy_clean_denoised_triptych.png","2265387"
"Stage1","DenoisingTriptych","Duke28","duke28_sl9","duke28_sl9","Stage1_Duke28_duke28_sl9_duke28_sl9_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\Duke28\all_positions\duke28_sl9\duke28_sl9\noisy_clean_denoised_triptych.png","2058193"
"Stage1","DenoisingTriptych","PKU37","pku_0001","pku_0001_f01","Stage1_PKU37_pku_0001_pku_0001_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0001\pku_0001_f01\noisy_clean_denoised_triptych.png","2439749"
"Stage1","DenoisingTriptych","PKU37","pku_0001","pku_0001_f25","Stage1_PKU37_pku_0001_pku_0001_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0001\pku_0001_f25\noisy_clean_denoised_triptych.png","2437790"
"Stage1","DenoisingTriptych","PKU37","pku_0001","pku_0001_f50","Stage1_PKU37_pku_0001_pku_0001_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0001\pku_0001_f50\noisy_clean_denoised_triptych.png","2437219"
"Stage1","DenoisingTriptych","PKU37","pku_0002","pku_0002_f01","Stage1_PKU37_pku_0002_pku_0002_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0002\pku_0002_f01\noisy_clean_denoised_triptych.png","2463758"
"Stage1","DenoisingTriptych","PKU37","pku_0002","pku_0002_f25","Stage1_PKU37_pku_0002_pku_0002_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0002\pku_0002_f25\noisy_clean_denoised_triptych.png","2460290"
"Stage1","DenoisingTriptych","PKU37","pku_0002","pku_0002_f50","Stage1_PKU37_pku_0002_pku_0002_f50_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0002\pku_0002_f50\noisy_clean_denoised_triptych.png","2463003"
"Stage1","DenoisingTriptych","PKU37","pku_0003","pku_0003_f01","Stage1_PKU37_pku_0003_pku_0003_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0003\pku_0003_f01\noisy_clean_denoised_triptych.png","2426849"
"Stage1","DenoisingTriptych","PKU37","pku_0003","pku_0003_f25","Stage1_PKU37_pku_0003_pku_0003_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0003\pku_0003_f25\noisy_clean_denoised_triptych.png","2427575"
"Stage1","DenoisingTriptych","PKU37","pku_0003","pku_0003_f44","Stage1_PKU37_pku_0003_pku_0003_f44_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0003\pku_0003_f44\noisy_clean_denoised_triptych.png","2419143"
"Stage1","DenoisingTriptych","PKU37","pku_0004","pku_0004_f01","Stage1_PKU37_pku_0004_pku_0004_f01_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0004\pku_0004_f01\noisy_clean_denoised_triptych.png","2473289"
"Stage1","DenoisingTriptych","PKU37","pku_0004","pku_0004_f25","Stage1_PKU37_pku_0004_pku_0004_f25_Noisy-Clean-Denoised.png","presentation_archive_20260901_131730\stage1_denoising\PKU37\all_positions\pku_0004\pku_0004_f25\noisy_clean_denoised_triptych.png","2473746"
